video,tp,fp,fn,tn,accuracy,precision,recall,f1
05_train,1005.0,60.0,1330.0,4929.0,0.810212998361551,0.9436619718309859,0.430406852248394,0.5911764705882352
07_train,1612.0,202.0,2015.0,8697.0,0.8230081430624302,0.8886438809261301,0.4444444444444444,0.5925381363719904
08_train,739.0,12.0,1043.0,4143.0,0.8223008253326596,0.9840213049267643,0.41470258136924804,0.5834978286616661
12_train,824.0,140.0,994.0,2955.0,0.7691837980867088,0.8547717842323651,0.45324532453245325,0.5923795830337886
14_train,1048.0,49.0,1612.0,5959.0,0.8083756345177665,0.9553327256153145,0.39398496240601505,0.5578919350545648
全体 (micro),5228.0,463.0,6994.0,26683.0,0.8105821987400935,0.9186434721490072,0.4277532318769432,0.5837101546362976
マクロ平均,,,,,0.8066162798722232,0.925286333506312,0.4273568330001109,0.583496790742049
