video,tp,fp,fn,tn,accuracy,precision,recall,f1
05_train,1005.0,60.0,171.0,2396.0,0.936398678414097,0.9436619718309859,0.8545918367346939,0.8969210174029452
07_train,1612.0,202.0,208.0,3884.0,0.9305790721300372,0.8886438809261301,0.8857142857142857,0.8871766648321409
08_train,739.0,12.0,159.0,2037.0,0.9419748897183576,0.9840213049267643,0.8229398663697105,0.8963007883565798
12_train,824.0,140.0,86.0,1290.0,0.9034188034188034,0.8547717842323651,0.9054945054945055,0.87940234791889
14_train,1048.0,49.0,273.0,2932.0,0.9251510925151093,0.9553327256153145,0.79333838001514,0.8668320926385442
全体 (micro),5228.0,463.0,897.0,12539.0,0.9288963245673655,0.9186434721490072,0.8535510204081632,0.8849018280297901
マクロ平均,,,,,0.9275045072392809,0.925286333506312,0.8524157748656671,0.88532658222982
