video,tp,fp,fn,tn,accuracy,precision,recall,f1
05_train,1005.0,61.0,171.0,2395.0,0.9361233480176211,0.9427767354596623,0.8545918367346939,0.896520963425513
07_train,1612.0,202.0,208.0,3884.0,0.9305790721300372,0.8886438809261301,0.8857142857142857,0.8871766648321409
08_train,739.0,12.0,159.0,2037.0,0.9419748897183576,0.9840213049267643,0.8229398663697105,0.8963007883565798
12_train,822.0,140.0,88.0,1290.0,0.9025641025641026,0.8544698544698545,0.9032967032967033,0.8782051282051282
14_train,1047.0,52.0,274.0,2929.0,0.9242212924221292,0.9526842584167425,0.7925813777441333,0.8652892561983472
全体 (micro),5225.0,467.0,900.0,12535.0,0.9285303497673446,0.9179550245959242,0.8530612244897959,0.8843192011508845
マクロ平均,,,,,0.9270925409704495,0.9245192068398307,0.8518248139719053,0.8846985602035418
