video,num_scenes,tp,fp,fn,tn,accuracy,precision,recall,f1
05_train,19.0,2026.0,116.0,309.0,4873.0,0.9419716002184598,0.945845004668534,0.8676659528907923,0.9050703596158141
07_train,26.0,3224.0,416.0,403.0,8483.0,0.9346159987226569,0.8857142857142857,0.8888888888888888,0.887298747763864
08_train,14.0,1474.0,28.0,308.0,4127.0,0.9434057604850935,0.9813581890812251,0.8271604938271605,0.8976857490864798
12_train,19.0,1653.0,291.0,165.0,2804.0,0.9071850193364543,0.8503086419753086,0.9092409240924092,0.8787878787878788
14_train,23.0,2130.0,102.0,530.0,5906.0,0.9270881402861099,0.9543010752688172,0.8007518796992481,0.8708094848732625
全体 (micro),,10507.0,953.0,1715.0,26193.0,0.9322292217029059,0.9168411867364747,0.8596792668957618,0.8873405962334263
マクロ平均,,,,,,0.9308533038097548,0.9235054393416341,0.8587416278796998,0.8879304440254598
